"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1133667516","x1217205282411028483",2020-01-14 22:02:08,"CllrHoffy","@D_Crane1 @Jochurchill4 @suffolkcc It will be @West_Suffolk enforcing this David not @suffolkcc. We have been pushing for it for years. Government delays and #Brexit have delayed the necessary legislation getting through until now. Hopefully we will now be able to address the illegal parking issues everywhere. <U+0001F44D>","Twitter for iPhone",278,"x1216794109131796481","x204869990","D_Crane1",FALSE,FALSE,1,0,NA,NA,"Brexit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x204869990 x2855674449 x41368144 x144879903 x41368144","D_Crane1 Jochurchill4 suffolkcc West_Suffolk suffolkcc","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3d9aefed42dda147.json","Bury Saint Edmunds","Bury Saint Edmunds, England","city","United Kingdom","GB","NA NA","NA NA","0.678274 0.7572878 0.7572878 0.678274 52.2258889 52.2258889 52.270442 52.270442","https://twitter.com/CllrHoffy/status/1217205282411028483","<U+0001F3DB>Paul Hopfensperger","Bury St Edmunds, UK.","Independent Councillor for #StOlavesWard - @bstetc & @West_Suffolk #HowardEstate #MarhamPark #CllrHoffy #BuryStEdmunds Deputy Mayor. Press Officer @BSE_Carnival","https://t.co/raQEhlBcbT",FALSE,1328,976,31,5546,4226,2013-01-30 10:39:19,FALSE,"https://t.co/raQEhlBcbT","http://www.paulhopfensperger.com",NA,"https://pbs.twimg.com/profile_banners/1133667516/1572776616","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1043421600652185600/DNAR8z7W_normal.jpg"
"x18850583","x1217187542619099136",2020-01-14 20:51:39,"buchanan17","So - we are supposed to get behind Brexit to make it work. How exactly are we supposed to do this? We have jobs. We do the jobs to the best of our ability, Brexit or not, and this will have zero effect on making Brexit work. So, how exactly? Surely it can’t just be “believing”?","Twitter for iPhone",278,NA,NA,NA,FALSE,FALSE,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/buchanan17/status/1217187542619099136","Andrew <U+0001F577><U+0001F536><U+0001F1EC><U+0001F1E7><U+0001F1EA><U+0001F1FA>","","",NA,FALSE,1097,1416,6,32171,35823,2009-01-10 23:33:59,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/18850583/1476200524","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1010488913000005632/BCK2-Rzz_normal.jpg"
"x18850583","x1215688513175408640",2020-01-10 17:35:02,"buchanan17","Thread. Anyone who thinks Brexit is done is a fool. https://t.co/egTW0lEXHY","Twitter for iPhone",51,NA,NA,NA,TRUE,FALSE,2,0,NA,NA,NA,NA,"twitter.com/johngpeet/stat…","https://t.co/egTW0lEXHY","https://twitter.com/johngpeet/status/1215583018825457672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","x1215583018825457672","What we have learnt about Brexit’s next stage, short thread based on my Economist piece this week. 1/",2020-01-10 10:35:50,"Twitter Web App",684,508,"x859405190348361729","JohnGPeet","John Peet",6247,923,3583,"London, England","Political and Brexit editor, The Economist. Author of ""Unhappy Union"" and special reports on the EU's future (March 25th 2017), and Brexit (October 17th 2015)",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/buchanan17/status/1215688513175408640","Andrew <U+0001F577><U+0001F536><U+0001F1EC><U+0001F1E7><U+0001F1EA><U+0001F1FA>","","",NA,FALSE,1097,1416,6,32171,35823,2009-01-10 23:33:59,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/18850583/1476200524","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1010488913000005632/BCK2-Rzz_normal.jpg"
"x18850583","x1215183126449860608",2020-01-09 08:06:49,"buchanan17","@KarenOMahony5 @skiologist It’s been hijacked by Brexiters. They really can’t get it in to their minds that wanting to stay in the EU is Remainers wanting the best for their country - the very definition of patriotic. Instead we are “talking the country down” or “not getting behind Brexit”.","Twitter for iPhone",264,"x1215182171159302144","x873981697867624448","KarenOMahony5",FALSE,FALSE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x873981697867624448 x45839623","KarenOMahony5 skiologist","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/buchanan17/status/1215183126449860608","Andrew <U+0001F577><U+0001F536><U+0001F1EC><U+0001F1E7><U+0001F1EA><U+0001F1FA>","","",NA,FALSE,1097,1416,6,32171,35823,2009-01-10 23:33:59,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/18850583/1476200524","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1010488913000005632/BCK2-Rzz_normal.jpg"
"x18850583","x1215768074571460608",2020-01-10 22:51:11,"buchanan17","I’ve been told by leavers that these are just guesses though... Can’t they at least have the decency to acknowledge their Brexit will make - has made- us poorer? https://t.co/CFh4SA4shK","Twitter for iPhone",161,NA,NA,NA,TRUE,FALSE,13,6,NA,NA,NA,NA,"twitter.com/martinremains/…","https://t.co/CFh4SA4shK","https://twitter.com/martinremains/status/1215766954490900480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","x1215766954490900480","‘Dan Hanson, U.K. economist for Bloomberg Economics, puts the total cost of Brexit by the end of 2020 at 200 billion pounds as uncertainty continues to take a toll on companies and consumers.’

Leave liars are terrible people. No doubt about it.

https://t.co/AWpc7d2KBE https://t.co/5tPRni0Y0W",2020-01-10 22:46:44,"Twitter for iPhone",13,12,"x3929075062","MartinRemains","Dr Martin Remains Optimistic #FBPE",9675,8144,88930,"","“We’ve come too far to give up who we are.” Who are we? Europeans. And always will be.",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/buchanan17/status/1215768074571460608","Andrew <U+0001F577><U+0001F536><U+0001F1EC><U+0001F1E7><U+0001F1EA><U+0001F1FA>","","",NA,FALSE,1097,1416,6,32171,35823,2009-01-10 23:33:59,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/18850583/1476200524","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1010488913000005632/BCK2-Rzz_normal.jpg"
"x18850583","x1215527708031176709",2020-01-10 06:56:03,"buchanan17","@NewforestStock @Scratchy912 @ThePenry @AndrewKnight226 @TMSIDK143 @TomosBombadil @Femi_Sorry Care to expand? I mean Brexit itself is a like a religion - relies on belief not facts - but I guess you don’t mean that?","Twitter for iPhone",121,"x1215403529826979840","x1945191607","NewforestStock",FALSE,FALSE,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x1945191607 x952642491911680001 x1176194239782379520 x1717521084 x1207802404843843584 x1190355655946887170 x234694571","NewforestStock Scratchy912 ThePenry AndrewKnight226 TMSIDK143 TomosBombadil Femi_Sorry","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/buchanan17/status/1215527708031176709","Andrew <U+0001F577><U+0001F536><U+0001F1EC><U+0001F1E7><U+0001F1EA><U+0001F1FA>","","",NA,FALSE,1097,1416,6,32171,35823,2009-01-10 23:33:59,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/18850583/1476200524","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1010488913000005632/BCK2-Rzz_normal.jpg"
"x91672895","x1217164396146851842",2020-01-14 19:19:40,"JonHartleyInBSE","@shrimptony And what they can never tell you it what we remainers, as individuals, actually have to do to make Brexit work. 
Volunteer as a trade negotiator? Pick soft fruit instead of having a summer holiday? Report suspicious looking foreigners using the local library to the police?","Twitter for Android",273,"x1217097933591588864","x4137825268","shrimptony",FALSE,FALSE,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x4137825268","shrimptony","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3d9aefed42dda147.json","Bury Saint Edmunds","Bury Saint Edmunds, England","city","United Kingdom","GB","NA NA","NA NA","0.678274 0.7572878 0.7572878 0.678274 52.2258889 52.2258889 52.270442 52.270442","https://twitter.com/JonHartleyInBSE/status/1217164396146851842","Jonathan Hartley #FBPE","Bury St Edmunds, UK","Socialist, Labour party member, trade union organiser, atheist, Pompey supporter (and former owner). All my own views; who else would want them?",NA,FALSE,677,1304,9,30860,41110,2009-11-21 23:02:13,FALSE,NA,NA,NA,"https://pbs.twimg.com/profile_banners/91672895/1529693599","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1019292540070187010/CrRA_JmE_normal.jpg"
"x817042482932449280","x1217161716016074757",2020-01-14 19:09:01,"hyppi737","@lesserspottedH @UKdemocrat @BorisJohnson Rigged polling from the Independent.
Boris Landslide was nothing to do with Brexit.
Hilarious <U+0001F602>","Twitter for iPhone",95,"x1216831557077479424","x867812457175240705","lesserspottedH",FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x867812457175240705 x895554677613264896 x3131144855","lesserspottedH UKdemocrat BorisJohnson","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/283010673a7207fb.json","Stonham Aspal","Stonham Aspal, England","city","United Kingdom","GB","NA NA","NA NA","1.1153491 1.1357993 1.1357993 1.1153491 52.1835909 52.1835909 52.1972978 52.1972978","https://twitter.com/hyppi737/status/1217161716016074757","Dave James","Warren Heath, England","Bedroom Guitarist",NA,FALSE,165,95,11,18012,8533,2017-01-05 16:18:02,FALSE,NA,NA,NA,NA,NA,"http://pbs.twimg.com/profile_images/817045138803453952/W1oR4dAX_normal.jpg"
"x27426996","x1215645687502790658",2020-01-10 14:44:52,"sportmarketing1","The real legacy of a flawed Brexit <U+0001F44E><U+0001F44E><U+0001F44E><U+0001F44E>

#brexitisflawed #BorisJohnsonShouldNotBePM #UnfitForOffice #DitchJohnson #DitchTheTories #GetBrexitGone 

UK passport slides down rankings of world's most powerful passports https://t.co/xory1yhszW","Twitter for Android",238,NA,NA,NA,FALSE,FALSE,4,3,NA,NA,"brexitisflawed BorisJohnsonShouldNotBePM UnfitForOffice DitchJohnson DitchTheTories GetBrexitGone",NA,"standard.co.uk/lifestyle/trav…","https://t.co/xory1yhszW","https://www.standard.co.uk/lifestyle/travel/most-powerful-passports-2020-a4330756.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/sportmarketing1/status/1215645687502790658","alan seymour","Cambridge, England","University Lecturer Consultant in Sports Marketing -Conference/Social Media @FOSConf MCIPR- Liverpool Supporter-Future of Sport Radio host @allinsportstalk","https://t.co/gRc1S10zZp",FALSE,9675,10640,506,78237,56044,2009-03-29 13:57:02,FALSE,"https://t.co/gRc1S10zZp","http://about.me/alanseymour",NA,"https://pbs.twimg.com/profile_banners/27426996/1482739426","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/378800000622488450/0a5d6cc1c9cfcbdfaae2098ca15f91c8_normal.png"
"x27426996","x1216257487067930625",2020-01-12 07:15:56,"sportmarketing1","A must read for all that exposes Brexit lies on EU and demonstrates quite overtly  why we are being driven into the world wilderness by our government of deceit!?

#GetBrexitGone #DitchJohnson #UnfitForOffice https://t.co/LmkhjWgCQQ","Twitter for Android",208,NA,NA,NA,TRUE,FALSE,90,76,NA,NA,"GetBrexitGone DitchJohnson UnfitForOffice",NA,"twitter.com/atatimelikethi…","https://t.co/LmkhjWgCQQ","https://twitter.com/atatimelikethis/status/1213815457167413250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","x1213815457167413250","@cirian75 Could I contribute this little gem to this. It's relatively white and taupe.

It's about the 750th time I've posted it, in the hope that it'll eventually go viral.

After all, it destroys every argument you've ever heard about ""they sold common market, we got political Union."" https://t.co/j4ML2Yh3Gt",2020-01-05 13:32:11,"Twitter for Android",553,520,"x103827656","atatimelikethis","Hilary The Press-Politics Cabal",5408,3711,35489,"Politicians are in control?","5 billionaires own our Press. How else to distort reality sufficiently to cover political lies?
Democracy dies amid lies. #justice
#FBPSI #FBPE #BrexitDissent",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/sportmarketing1/status/1216257487067930625","alan seymour","Cambridge, England","University Lecturer Consultant in Sports Marketing -Conference/Social Media @FOSConf MCIPR- Liverpool Supporter-Future of Sport Radio host @allinsportstalk","https://t.co/gRc1S10zZp",FALSE,9675,10640,506,78237,56044,2009-03-29 13:57:02,FALSE,"https://t.co/gRc1S10zZp","http://about.me/alanseymour",NA,"https://pbs.twimg.com/profile_banners/27426996/1482739426","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/378800000622488450/0a5d6cc1c9cfcbdfaae2098ca15f91c8_normal.png"
"x27426996","x1215590427925020674",2020-01-10 11:05:17,"sportmarketing1","My recent tweet poses the same question?
The rhetoric of statements rather than definitive actions sadly though rings true with this government in all aspects reference Brexit and the scandal that is Stopping FOM? https://t.co/5kGxVXEBj0","Twitter for Android",213,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,NA,NA,"twitter.com/ProfCTurner/st…","https://t.co/5kGxVXEBj0","https://twitter.com/ProfCTurner/status/1215378236068245504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","x1215378236068245504","@CSkidmoreUK Please be aware that students are committing (or not) to courses now on the basis of possible exchanges in years to come. The uncertainty alone has done quite a bit of damage. So clarity and a strong commitment would be welcome as soon as possible.",2020-01-09 21:02:06,"Twitter for Android",27,1,"x20500058","ProfCTurner","Professor Colin Turner",1075,1318,8872,"Belfast","Professor Engineering Education, @UlsterUni; President @EngProfCouncil. #fidonet #maths #software #aikido #iaido #PFHEA National Teaching Fellow, He/Him.",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/sportmarketing1/status/1215590427925020674","alan seymour","Cambridge, England","University Lecturer Consultant in Sports Marketing -Conference/Social Media @FOSConf MCIPR- Liverpool Supporter-Future of Sport Radio host @allinsportstalk","https://t.co/gRc1S10zZp",FALSE,9675,10640,506,78237,56044,2009-03-29 13:57:02,FALSE,"https://t.co/gRc1S10zZp","http://about.me/alanseymour",NA,"https://pbs.twimg.com/profile_banners/27426996/1482739426","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/378800000622488450/0a5d6cc1c9cfcbdfaae2098ca15f91c8_normal.png"
"x27426996","x1214927893874331648",2020-01-08 15:12:36,"sportmarketing1","The timetable for Brexit 
Doesn't exist in reality as will never be delivered as conceived via deceit cheating and impossibility!?
Simple really 

To be discussed next on February 1st after deal is NOT DONE!?
#GetBrexitGone https://t.co/qlzq2LmpSw","Twitter for Android",223,NA,NA,NA,TRUE,FALSE,3,3,NA,NA,"GetBrexitGone",NA,"twitter.com/emmyzen/status…","https://t.co/qlzq2LmpSw","https://twitter.com/emmyzen/status/1214895397023473664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en","x1214895397023473664","Ursula von der Leyen: UK deadline makes full Brexit deal impossible.

Timeframe is too tight.

We have known that for a while, but our government denies it. 

#Brexit https://t.co/AUmmMoHf1S",2020-01-08 13:03:28,"Twitter for iPad",359,211,"x32456965","emmyzen","Emmy van Deurzen<U+2600><U+FE0F>#FBPE PhD <U+0001F1EA><U+0001F1FA><U+0001F1EB><U+0001F1F7><U+0001F1F3><U+0001F1F1><U+0001F1EC><U+0001F1E7><U+0001F1FA><U+0001F1F8><U+2B50><U+FE0F>",47353,42094,109968,"London, England, UK.","Philosopher, psychologist, existential therapist, human rights activist. Seventeen books. Principal Existential Academy and New School. https://t.co/fNZSOzuels",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json","East","East, England","admin","United Kingdom","GB","NA NA","NA NA","-0.745779800818049 1.76893599950184 1.76893599950184 -0.745779800818049 51.4482221321091 51.4482221321091 52.9926789576249 52.9926789576249","https://twitter.com/sportmarketing1/status/1214927893874331648","alan seymour","Cambridge, England","University Lecturer Consultant in Sports Marketing -Conference/Social Media @FOSConf MCIPR- Liverpool Supporter-Future of Sport Radio host @allinsportstalk","https://t.co/gRc1S10zZp",FALSE,9675,10640,506,78237,56044,2009-03-29 13:57:02,FALSE,"https://t.co/gRc1S10zZp","http://about.me/alanseymour",NA,"https://pbs.twimg.com/profile_banners/27426996/1482739426","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/378800000622488450/0a5d6cc1c9cfcbdfaae2098ca15f91c8_normal.png"
