"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","i","Long","lat","from","to","party_area"
"RT @BBCBreakfast: Sonja is 84 years old and battling cancer <U+0001F622>
She's had to fight for the right to stay in the country after #Brexit...even…",FALSE,0,NA,2020-01-09 23:06:33,FALSE,NA,"1215409555657699328",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mikeonthemarne",510,TRUE,FALSE,NA,NA,1,53.4741646494,-2.35447014864,"2020-01-09","2020-01-10","Labour"
"Now the SNP know exactly how we felt every time they kept blocking anything #Brexit. Roll on 31st January. Big cele… https://t.co/SLrO70oVab",FALSE,0,NA,2020-01-09 17:56:42,TRUE,NA,"1215331578655789056",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","XxGLAMMAxX",0,FALSE,FALSE,NA,NA,1,53.7644355319,-0.328889705826,"2020-01-09","2020-01-10","Labour"
"@lucianaberger How sad this is. I (and a colleague) took a group of Sixth Formers on a Swedish exchange using this… https://t.co/AjLvxwm8vZ",FALSE,1,"lucianaberger",2020-01-09 09:53:34,TRUE,"1215197873962393603","1215209993542295552","20992801","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Ianod64",0,FALSE,FALSE,NA,NA,1,53.7644355319,-0.328889705826,"2020-01-09","2020-01-10","Labour"
"Agreed but are you sure it wasnt because of #Brexit <U+0001F609> https://t.co/vdYrJVrpkO",FALSE,0,NA,2020-01-09 00:00:45,FALSE,NA,"1215060804992675841",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","XxGLAMMAxX",0,FALSE,FALSE,NA,NA,1,53.7644355319,-0.328889705826,"2020-01-09","2020-01-10","Labour"
"RT @SBranno: Can’t believe how in denial @labourlewis is about why @UKLabour lost the gen election on #andrewneilshow 
How can he could win…",FALSE,0,NA,2020-01-09 01:14:29,FALSE,NA,"1215079363487531008",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Mohamad51255680",7,TRUE,FALSE,NA,NA,1,54.626449127,-1.25876126917,"2020-01-09","2020-01-10","Labour"
"...but absolutely delighted that it's almost done #Brexit",FALSE,2,"luffers70",2020-01-09 17:49:25,FALSE,"1215327168030478336","1215329745874964485","725413458100011010","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","luffers70",1,FALSE,FALSE,NA,NA,1,51.5627289184,-2.9951499833,"2020-01-09","2020-01-10","Labour"
"I bet my MP Ruth Jones @labour voted against it even though her constituency is leave #Brexit @matthewevansnpt… https://t.co/NKXpYx6SFR",FALSE,3,NA,2020-01-09 17:39:11,TRUE,NA,"1215327168030478336",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","luffers70",0,FALSE,FALSE,NA,NA,1,51.5627289184,-2.9951499833,"2020-01-09","2020-01-10","Labour"
"Looking forward to attending and speaking at the AoC Funding Conference in London on Wednesday on #Brexit Readiness… https://t.co/Ca57sRKAUB",FALSE,0,NA,2020-01-09 15:58:59,TRUE,NA,"1215301954777288708",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","CenturiononVAT",1,FALSE,FALSE,NA,NA,1,51.5627289184,-2.9951499833,"2020-01-09","2020-01-10","Labour"
"@SirSocks Not this #Brexit obsession with fish again. Just five families on the Sunday Times Rich List hold or cont… https://t.co/ORhSx6E0Xm",FALSE,1,"SirSocks",2020-01-09 22:11:48,TRUE,"1215244279922266114","1215395774634217473","127360173","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","StickMan_v7",0,FALSE,FALSE,NA,NA,1,51.5510584612,-0.266692996544,"2020-01-09","2020-01-10","Labour"
"Erasmus: What could happen to scheme after Brexit? - BBC News

Proof positive that #Brexit is nothing more than int… https://t.co/JoOgwtXmME",FALSE,0,NA,2020-01-09 16:20:26,TRUE,NA,"1215307352821456898",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Stuart1642",0,FALSE,FALSE,NA,NA,1,52.4209394716,-1.51255488177,"2020-01-09","2020-01-10","Labour"
"RT @fedupofnumpties: Hi unionist #remainers in Scotland. just wondering if your protest vote to try &amp; stop #Brexit was worth it?  Was this…",FALSE,0,NA,2020-01-09 18:31:10,FALSE,NA,"1215340250781843456",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","jungman0073",4,TRUE,FALSE,NA,NA,2,55.1925712959,-3.6883064035,"2020-01-09","2020-01-10","Conservative"
"Hi unionist #remainers in Scotland. just wondering if your protest vote to try &amp; stop #Brexit was worth it?  Was th… https://t.co/xDPknocUnI",FALSE,28,NA,2020-01-09 18:24:20,TRUE,NA,"1215338529649197056",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fedupofnumpties",4,FALSE,FALSE,NA,NA,2,55.1925712959,-3.6883064035,"2020-01-09","2020-01-10","Conservative"
"This #Mexit will be worse than #Brexit",FALSE,0,NA,2020-01-09 23:51:27,FALSE,NA,"1215420853770489858",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","baz86316",0,FALSE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
"I just clicked on a hashtag about the #Brexit bill passing and was disappointed that it didn't take me to an articl… https://t.co/tlBSbxPB0k",FALSE,0,NA,2020-01-09 21:24:49,TRUE,NA,"1215383951596032016",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BeansAndBourbon",0,FALSE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
"RT @SianDavidson_: Great news that the #Brexit bill has passed through the House of Commons today and is now on to the House of Lords. Not…",FALSE,0,NA,2020-01-09 17:47:16,FALSE,NA,"1215329203996045314",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","SAH_Rowan",3,TRUE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
"RT @SianDavidson_: Great news that the #Brexit bill has passed through the House of Commons today and is now on to the House of Lords. Not…",FALSE,0,NA,2020-01-09 17:44:25,FALSE,NA,"1215328487583703040",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","mustbecwaced",3,TRUE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
"Finally...... #Brexit #GreatBritain #byebyeeu <U+0001F1EC><U+0001F1E7><U+0001F3F4><U+000E0067><U+000E0062><U+000E0065><U+000E006E><U+000E0067><U+000E007F><U+0001F3F4><U+000E0067><U+000E0062><U+000E0073><U+000E0063><U+000E0074><U+000E007F><U+0001F3F4><U+000E0067><U+000E0062><U+000E0077><U+000E006C><U+000E0073><U+000E007F> https://t.co/9vUewwIF1M",FALSE,1,NA,2020-01-09 17:41:56,FALSE,NA,"1215327862938591238",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Andy81Kerr",0,FALSE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
"Great news that the #Brexit bill has passed through the House of Commons today and is now on to the House of Lords.… https://t.co/s4yk3hH2cZ",FALSE,3,NA,2020-01-09 17:38:17,TRUE,NA,"1215326943274508294",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SianDavidson_",3,FALSE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
"It’s official! <U+0001F37E><U+0001F37E><U+0001F37E>

@HouseofCommons has passed the #WithdrawalAgreement Bill. #Brexit is happening and we will be o… https://t.co/Rr7YpRdgjh",FALSE,9,NA,2020-01-09 17:36:04,TRUE,NA,"1215326385297936385",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SamanthaSmiMYP",1,FALSE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
"@PhilipPullman What are you talking about? None of the press have EVER attacked the duchess for her colour, not eve… https://t.co/mq0YTraJsj",FALSE,2,"PhilipPullman",2020-01-09 12:08:24,TRUE,"1215215756738289665","1215243923221884928","2176527421","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","John_Bull_GB",1,FALSE,FALSE,NA,NA,2,52.9532172942,-2.38620836566,"2020-01-09","2020-01-10","Conservative"
