text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,i,long,lat,from,to,party_area
Love how everyone thinks #Brexit is done. Lol.,FALSE,1,NA,06/01/2020 20:27,FALSE,NA,1.21428E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",uxthom,0,FALSE,FALSE,NA,NA,1,54.96026711,-1.557473011,06/01/2020,07/01/2020,Labour
RT @MikeRossUK: Don't forget it was the government who falsely demonised diesels after #Brown promoted their sales as cleaner option. It ha…,FALSE,0,NA,06/01/2020 17:20,FALSE,NA,1.21424E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Carol01115190,1,TRUE,FALSE,NA,NA,1,52.42093947,-1.512554882,06/01/2020,07/01/2020,Labour
Don't forget it was the government who falsely demonised diesels after #Brown promoted their sales as cleaner optio… https://t.co/AgVbtcQxd9,FALSE,2,NA,06/01/2020 17:18,TRUE,NA,1.21423E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",MikeRossUK,1,FALSE,FALSE,NA,NA,1,52.42093947,-1.512554882,06/01/2020,07/01/2020,Labour
"RT @redamberblack: Much has been said about the UK staying out of  Donald Trumps spat with Iran.
I am totally in support of  our strongest…",FALSE,0,NA,06/01/2020 23:57,FALSE,NA,1.21434E+18,NA,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",Rankbrexiteer41,6,TRUE,FALSE,NA,NA,1,53.7850533,-1.787077982,06/01/2020,07/01/2020,Labour
"RT @redamberblack: Much has been said about the UK staying out of  Donald Trumps spat with Iran.
I am totally in support of  our strongest…",FALSE,0,NA,06/01/2020 22:10,FALSE,NA,1.21431E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",JCEET1,6,TRUE,FALSE,NA,NA,1,53.7850533,-1.787077982,06/01/2020,07/01/2020,Labour
"RT @redamberblack: Much has been said about the UK staying out of  Donald Trumps spat with Iran.
I am totally in support of  our strongest…",FALSE,0,NA,06/01/2020 22:08,FALSE,NA,1.21431E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",BARSONMARS,6,TRUE,FALSE,NA,NA,1,53.7850533,-1.787077982,06/01/2020,07/01/2020,Labour
"RT @redamberblack: Much has been said about the UK staying out of  Donald Trumps spat with Iran.
I am totally in support of  our strongest…",FALSE,0,NA,06/01/2020 22:04,FALSE,NA,1.21431E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Jan_S_B_459,6,TRUE,FALSE,NA,NA,1,53.7850533,-1.787077982,06/01/2020,07/01/2020,Labour
"RT @redamberblack: Much has been said about the UK staying out of  Donald Trumps spat with Iran.
I am totally in support of  our strongest…",FALSE,0,NA,06/01/2020 21:59,FALSE,NA,1.21431E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",LesRaynerAdams,6,TRUE,FALSE,NA,NA,1,53.7850533,-1.787077982,06/01/2020,07/01/2020,Labour
"RT @redamberblack: Much has been said about the UK staying out of  Donald Trumps spat with Iran.
I am totally in support of  our strongest…",FALSE,0,NA,06/01/2020 21:54,FALSE,NA,1.2143E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Jan85429176,6,TRUE,FALSE,NA,NA,1,53.7850533,-1.787077982,06/01/2020,07/01/2020,Labour
"Much has been said about the UK staying out of  Donald Trumps spat with Iran.
I am totally in support of  our stron… https://t.co/NRVX3pH8Mu",FALSE,5,NA,06/01/2020 20:34,TRUE,NA,1.21428E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",redamberblack,6,FALSE,FALSE,NA,NA,1,53.7850533,-1.787077982,06/01/2020,07/01/2020,Labour
