"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","i","long","lat","from","to","party_area"
"@TomLondon6 It's popular with me.. But #Brexit is in there too <U+0001F610>",FALSE,0,"TomLondon6",2020-01-12 14:20:09,FALSE,"1216344282933665793","1216364245463465984","893568606","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","jackiescoones",0,FALSE,FALSE,NA,NA,1,51.5329577407,0.0851571082154,"2020-01-12","2020-01-13","Labour"
"Another #Remain (faux independent) newspaper clutching at straws in desperation. British public wants to remain in… https://t.co/dTAvkOqqyN",FALSE,1,NA,2020-01-12 13:47:08,TRUE,NA,"1216355937474301952",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","HMF90976073",1,FALSE,FALSE,NA,NA,1,51.5329577407,0.0851571082154,"2020-01-12","2020-01-13","Labour"
"@berniespofforth We are leaving the #EU, via a #democratic process known as a #referendum. #Brexit is now like skyd… https://t.co/WBWKeXB6oO",FALSE,1,"berniespofforth",2020-01-12 11:59:42,TRUE,"1216111091647991808","1216328897429737474","755135678422327296","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","shaunAwheeldon1",0,FALSE,FALSE,NA,NA,1,53.7644355319,-0.328889705826,"2020-01-12","2020-01-13","Labour"
"Clowns to the left of me, jokers to the right. Here I am, stuck in the middle with blue! #Brexit
#BrexitBritain… https://t.co/z7HWe4T7Jv",FALSE,0,NA,2020-01-12 16:44:48,TRUE,NA,"1216400647018483713",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","toppertje",0,FALSE,FALSE,NA,NA,1,53.2130957902,-2.95330727499,"2020-01-12","2020-01-13","Labour"
"RT @stevethesmiths: @AmySpargo £120m?! FFS! To be paid with the #Brexit 50p's? This is on top of the £100m for the ads saying we're leaving…",FALSE,0,NA,2020-01-12 23:49:31,FALSE,NA,"1216507531524280321",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","SuzannahBee89",11,TRUE,FALSE,NA,NA,2,52.2927191373,0.88735660237,"2020-01-12","2020-01-13","Conservative"
"RT @stevethesmiths: @AmySpargo £120m?! FFS! To be paid with the #Brexit 50p's? This is on top of the £100m for the ads saying we're leaving…",FALSE,0,NA,2020-01-12 22:12:08,FALSE,NA,"1216483021278318592",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BendyBill",11,TRUE,FALSE,NA,NA,2,52.2927191373,0.88735660237,"2020-01-12","2020-01-13","Conservative"
"RT @stevethesmiths: @AmySpargo £120m?! FFS! To be paid with the #Brexit 50p's? This is on top of the £100m for the ads saying we're leaving…",FALSE,0,NA,2020-01-12 20:35:51,FALSE,NA,"1216458792856162310",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","C_Chalmers_",11,TRUE,FALSE,NA,NA,2,52.2927191373,0.88735660237,"2020-01-12","2020-01-13","Conservative"
"RT @stevethesmiths: @AmySpargo £120m?! FFS! To be paid with the #Brexit 50p's? This is on top of the £100m for the ads saying we're leaving…",FALSE,0,NA,2020-01-12 19:05:14,FALSE,NA,"1216435986198077441",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MargyMayell",11,TRUE,FALSE,NA,NA,2,52.2927191373,0.88735660237,"2020-01-12","2020-01-13","Conservative"
"I think given the number of #homeless on #UK streets this winter a lot of people might take offence at this immoral… https://t.co/iMLUGOnqIR",FALSE,1,NA,2020-01-12 18:11:31,TRUE,NA,"1216422468967182336",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","Suffolkbeeman",0,FALSE,FALSE,NA,NA,2,52.2927191373,0.88735660237,"2020-01-12","2020-01-13","Conservative"
"RT @stevethesmiths: @AmySpargo £120m?! FFS! To be paid with the #Brexit 50p's? This is on top of the £100m for the ads saying we're leaving…",FALSE,0,NA,2020-01-12 17:24:25,FALSE,NA,"1216410616199630849",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","bzjane",11,TRUE,FALSE,NA,NA,2,52.2927191373,0.88735660237,"2020-01-12","2020-01-13","Conservative"
