"","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"1","all 7 and we will watch them fall they stand in the way of love and we will smoke them all with an intellect and a savior faire no one in the whole universe will ever compare i am yours now and you are mine and together we will love through all space and time  so do not cry one day all 7 will die all 7 and we will watch them fall they stand in the way of love and we will smoke them all with an intellect and a savior faire no one in the whole universe will ever compare i am yours now and you are mine and together we will love through all space and time  so do not cry one day all 7 will die and i saw an angel come down unto me in her hand she holds the very key words of compassion  words of peace and in the distance an army marching feet    1 2 3 4   1 2 3 4  but behold  we will watch them fall and we lay down on the sand of the sea and before us animosity will stand and decree that we speak not of love only blasphemy and in the distance  6 others will curse me but that alright  that alright  4 i will watch them fall  1 2 3 4 5 6 7  all 7 and we will watch them fall they stand in the way of love and we will smoke them all with an intellect and a savior faire no one in the whole universe will ever compare i am yours now and you are mine and together we will love through all space and time  so do not cry one day all 7 will die  just how old  and we will see a plague and a river of blood and every evil soul will surely die in spite of their 7 tears  but do not fear 4 in the distance  12 souls from now you and me will still be here  we will still be here there will be a new city with streets of gold the young so educated they never grow old and a there will be no death for with every breath the voice of many colors sings a song that so bold sing it while we watch them fall all 7 and we will watch them fall they stand in the way of love and we will smoke them all with an intellect and a savior faire no one in the whole universe will ever compare i am yours now and you are mine and together we will love through all space and time  so do not cry one day all 7 will die just how old just how old just how old","7",1992,"Symbol",3,"7","61","1990s","Top 10","Charted"
"2","319   bout time  come in  ow  319 take off your clothes  319 bet you got a body by god  come on  let me see  you oughta my camera gonna get you when you get it good and wet you oughta let me come and pet you so it lasts  baby 319 can i see it  baby  mm  ow i got a good shot  put your leg on the chair  like that  you know you are too hot when you play with your hair  i like it i just wanna holler  s  and shout when you let your fingers do the walkin  in and out and all about  319 ah hoochie  do not do that  you  you you make me wanna dance  now watch this lock the door and kill the phone  my camera  you and me alone will make a picture  all will see and go  ow  319 oh baby  how would you get your legs to do that  ooh   319  319  319  you are just too mean  319  319  319 yeah  yeah  go on girl  319  319  ai not gotta tell you  cuz you already know  319  girl  you in the house so keep runnin  that show  go on girl  319 yeah  319  come here  319  have you ever kissed another woman on the dance floor  come here 319  where you goin   come here  319  319  319  oh","319",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"3","do not worry  i will not hurt you i only want you to have some fun i was dreamin  when i wrote this forgive me if it goes astray but when i woke up this mornin  could have sworn it was judgment day the sky was all purple there were people runnin  everywhere tryin  to run from the destruction you know i did not even care  cuz they say 2000 zero zero party over  oops  out of time  so tonight i am gonna party like it 1999 i was dreamin  when i wrote this so sue me if i go too fast but life is just a party and parties were not meant to last war is all around us  my mind says   prepare to fight  so if i gotta die  i am gonna listen to my body tonight yeah  they say 2000 zero zero party over  oops  out of time  so tonight i am gonna party like it 1999   yeah  yeah  people  let me tell you somethin  if you did not come to party do not bother knockin  on my door i got a lion in my pocket and  baby  he ready to roar  yeah  everybody got a bomb  we could all die any day  oh  but before i let that happen  i will dance my life away oh  they say 2000 zero zero party over  oops  out of time   we are runnin  out of time  so tonight i am gonna party like it 1999   we gonna  we gonna  oh   say it one more time 2000 zero zero party over  oops  out of time   no  no  so tonight i am gonna party like it 1999   we are gonna  we gonna  alright  1999  you say it  1999  1999  1999  do not stop  do not stop  say it one more time 2000 zero zero party over  oops  out of time   yeah  yeah  so tonight i am gonna party like it 1999   we gonna  we are gonna  yeah  1999  1999  do not you wanna go   1999  do not you wanna go   1999  we could all die any day  1999  i do not wanna die  i would rather dance my life away  1999  listen to what i am tryin  to say everybody  everybody say party come on now  you say it  party   that right  everybody say  party    unverified  ca not run from revelation  no sing it for your nation  y all dreamin  when you are singin   baby say the telephone a ringin   mama  now come on  come on  you say everybody  two times work it down to the ground  i am sayin   oh baby  say it again   oh  shake your body  baby   that right  come on  sing the song that right  everybody say got a lion in my pocket mama  say ah  and he ready to roar  yeah mommy  why does everybody have a bomb  mommy  why does everybody have a bomb ","1999",1982,"1999",2,"12","4","1980s","Top 10","Charted"
"4","prince miscellaneous 2020 the year is 2020  and in the club   love4oneanother  students dance 2 the heartbeat of the drum  3000 or more dance on the dance floor  same aesthetics   everyone  taste the color  smell the fun  the force of nature is what brought us here  the walls between us soon all disappear  the year is 2020 and there no more fear  can u see this   mm hmm   peace and happy people   mm hmm ","2020",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"5","one mix  one mix  one mix  one mix one mix  one mix  one mix  one mix dj  turn it up  turn it up let go  3121 hey mommy  it loco right  3121  come on through the gates  knock on the door put your clothes in a pile  on the floor take your pick from the japaneses robes and sandals drink champagne from a glass  with chocolate handles do not you wanna come  3121 gonna be so much fun  3121 that where the party be  3121 you can come if you want to  but you can never leave look over there  there another turn on  look over there  butterflies scared that they are gonna be awake all night long  all night long  dancing in your belly  like a ballerina in spite of your efforts to calm them down do not you wanna come  3121 gonna be so much fun  3121 that where the party be  3121 you can come if you want to  but you can never leave bounce party y all it going down people like the wall of berlin lock the door  lock the door  til you see the sun  til you see it  we gonna party  like there ai not going be  another one futuristic  fantasy  this is where the purple party people be yeah  this is where the party be  3121 this is where the party be  3121 breakdown  guitar do not you wanna come  3121 it gonna be so much fun  3121  yes it is  that where the party be  3121 you can come if you want to  but y all can not never leave  not ever  it going down y all like the wall of berlin","3121",2006,"3121",1,"1","1","2000s","Top 10","Charted"
"6","prince miscellaneous 777 9311 baby  what your phone number   i know i am kinda fast  but i hate 2 waste time  baby  what your phone number   girl  i have 2 ask cuz u are so fine  chorus   777 9311  i wanna spend the night with u if that alright  777 9311  ooh baby  please can i come 2 night   baby  what your phone number   how can u be reached on a lonely night   baby  what your phone number   how can i get into u when i am feeling right   chorus  jellybean  ai not nothin  worse than rejection  i would feel a little better if u slapped my face  hey  what your phone number   ca not u see the agony i am goin  through   baby  what your phone number   girl  it getting hard baby  will not u let me love u  love u   chorus  yeah  ooh  hey baby what your phone number   i know it sounds fast  but i ai not got all night  come on baby  what your phone number   u know i got 2 be cooler than this cat u are sittin  with  i will do u right  baby  come on   x3   oh no  come on   oh  hey  chorus  come 2 night if it alright  777 9311   honey  please can i come 2 night   ca not u see what i am gonna do   777 9311   i wanna do it 2 night  baby  i wanna do it 2 u  it on fire  u burn me out  777 9311   it getting higher  u know what i am talkin  about  help me out good lord above  777 9311   marry me girl  give me some of that love  terry  777 9311  x13 ","7779311",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"7","  u  you are so fine seems to happen to me each and every time we make love i can not hold back  it like havin  a hundred million little heart attacks   u  baby you are so fine   this kooky love affair all i ever wanna do is play in your hair two people crazy in love  into one another like a hand in glove   this kooky love affair   u like animals just born to breed come to think about ya baby  you are my only need i am on fire  til you come and put me out all i am trying to say is that my psychedelic shouts when u   me    u when i am in your arms it all that i can do when we are makin  love  i can not hold back it like havin  a hundred million little heart attacks   u  baby you are so fine    u  baby you are so fine  that one dedicated to all the lovers that was beautiful this one dedicates to the whores what you just   pimp rag  pimp rag  check just once will you talk to me    tootsie pop  tootsie pop  check not at me  not around me  not through me  raise your cane  cane    what do you believe in  god who is your god  you is this reality or just another facade  ","u",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"8"," ed if i do tell me what up with the teenage indecision i am mad in love but you will not give me permission you said   be here at 9  then s  at me for not giving you more time  more time  ed if i do   ed if i do not you say you want me to love you but when i try  you will not maybe  maybe we should say goodbye  ed if i do tell me the truth  how many  you do it too  i smell vermouth everytime i do not get to kiss you enough enough if you do not want my lovin   then i will give up  i will give up  ed if i do   ed if i do not you say you want me to love you but when i try  you will not baby  maybe we should say goodbye  goodbye  ed if i do not try to make you see yourself the way i do open minded  worldly  always ready for taboo tell me what up  are we gonna go to heaven  i will fill your cup  i will not do it like kevin  ed if i do   ed if i do not you say you want me to love you but when i try  you will not baby  maybe we should say goodbye  ed if i do   ed if i do not baby  maybe we should say goodbye maybe we should say   i do   unverified ","ed if i do",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"9","nuestra presentacion especial comenzara en breve  our special presentation will start shortly  pero antes un mensaje de nuestros auspiciadores  but first a message from our sponsors  uh  yeah uh good mornin   ladies and gentlemen  what hotel number is she in   boys and   in  girls  319  319  cool  this is your captain with no name speakin  and i am here 2 rock your world with a tale that will soon be classic about a woman u already know no  prostitute she  but the mayor of your brain  control  are u ready   ah   control  oh ah   control  oh our story begins in a schoolyard a little girl skipping rope with her friends a tisket  a tasket  no lunch in her basket just school books 4 the fight she would be in one day over this hoodie she got beat for some clothes and her rep with her chin up  she scolded all y alls molded when i am rich  on your neck i will step and step she did to the straight as then college  the master degree she hired the heifers that jumped her and made everyone of them work for free  know  why  so what if my sisters are triflin   they just do not know she said mama did not tell  em what she told me girl  u need  control  are u ready   ah   control  oh ah   control  oh  got bank in her pockets before she got dick in her drawers if brother did not have good and plenty of his own in love  never did fall and this fool named trick wanna stick her uh  talkin  more chick than a bic  bout how he gonna make  a star if she come and sing a lick on his hit  said  a  u crazy if u do not know every woman in the world ai not a freak u can go platinum 4 times still could not make what i make in a week so push up on somebody wanna hear that  cuz this somebody here do not wanna know boy  u better act like u understand when u roll with  control  are u ready   ah   control  oh ah   control  oh breakdown  are u ready for the best  u ever felt    are u ready for the best  u ever felt   with one more verse to the story i need another piece of your ear i wanna hip u all to the reason i am known as the player of the year  cuz i met this girl named  at the club international balls she was rollin 4 deep 3 sisters and a weepy eyed white girl drivin  her haul i pulled up right beside her and my electric top went down i said   er  i know your reputation and i am astounded that you are here i fear you are lonely and u want to know a 12 o clock straight up  a that do not give a   that you are  control well i am that  a  at least i wanna be but it gonna be hard as hell to keep my mind off a body that would make every rich man want 2 sell  sell  sell  75  we need another  85  85 here  sold  can i tell u what i am thinkin  that u already know  u need a   er that respects your name now say it   control  are u ready   ah   control  oh ah   control  oh and the moral of this   er is ladies  make  em act like they know you are  was and always will be  control  are u ready   peace and be wild  ah   control  say what  huh   oh  oh  no  do not u think about callin  her a ho  are u ready   you juvenile delinquent best sit your ass down talkin  about  control huh  can u dig it  ah   control  are u ready   oh  are u ready   ah   control  are u ready   oh  are u ready  ","control",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"10","ohh  ah  yeah u work so hard  u really do i do not think that anyone could ever work as hard as u hot desert sun  u can feel the heat every drop of sweat on your brow is what i am so u best believe i got 1  000 hugs and kisses 4 u when u come back home  baby  ooh woo  i got 1  000 hugs and kisses 4 u when u come back home  baby  ooh woo  when u give  em your all  and still it only second best u can come and lay your head upon your baby chest every one of your worries  all your miseries  all your miseries  u can put them in the little book and ship them off 2 sea cuz       ohh  ah  yeah i got a 1  000 hugs and kisses u when u come back home come here  the world can be  well 2 put it frankly  such a   sometimes seems like love that lasts 4ever is so   hard 2 find seems like all we ever find is another reason 2 cry as long as u got me i got your back and this is why u work so hard  u really do i do not think that anyone could ever work as hard as u better lock the door  u better turn off the phone cuz i am gonna give 1  000 reasons why we need 2 be alone    i got 1  000 hugs and kisses  baby  when u get back home when u get back home oh yeah i wanna hold u  tie u up in lace and i wanna kiss u  kiss u all over your face i wanna love u all up and down give u love like u never had  all  ungagged and bound ooh yeah  ohh  i got 1  000 hugs and kisses 4 u  baby  i got 1  000 hugs and kisses 4 u when u come back home  baby  i wanna  i wanna  yeah  i wanna hug u baby  kiss u  i got 1  000 hugs and kisses 4 u when u come back home  baby  yeah yeah  ooh love u up and love u down love u till u make them sounds","1000 xs  os",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
