X,text,artist,song,year,album,Release.Date,US.Pop,US.R.B,CA,UK,IR,NL,DE,AT,FR,JP,AU,NZ,peak
49,"All 7 and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect and a savior-faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through
All space and time, so don't cry
One day all 7 will die
All 7 and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect and a savior-faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through
All space and time, so don't cry
One day all 7 will die
And I saw an Angel come down unto me
In her hand she holds the very key
Words of compassion, words of peace
And in the distance an army's marching feet
  (1 2 3 4 - 1 2 3 4)
But behold, we will watch them fall
And we lay down on the sand of the sea
And before us animosity will stand and decree
That we speak not of love only blasphemy
And in the distance, 6 others will curse me
But that's alright
(That's alright)
4 I will watch them fall
(1 2 3 4 5 6 7)
All 7 and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect and a savior-faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through
All space and time, so don't cry
One day all 7 will die
(Just how old)
And we will see a plague and a river of blood
And every evil soul will surely die in spite of
Their 7 tears, but do not fear
4 in the distance, 12 souls from now
You and me will still be here, we will still be here
There will be a new city with streets of gold
The young so educated they never grow old
And a there will be no death for with every breath
The voice of many colors sings a song
That's so bold
Sing it while we watch them fall
All 7 and we'll watch them fall
They stand in the way of love and we will smoke them all
With an intellect and a savior-faire
No one in the whole universe will ever compare
I am yours now and you are mine
And together we'll love through
All space and time, so don't cry
One day all 7 will die
Just how old
Just how old
Just how old",prince,7,1992,Symbol,17 Nov. 1992,7,61,3,27,-,28,77,-,53,-,25,12,3
669,"319, 'bout time, come in, ow, 319
Take off your clothes, 319 bet you got a body
By God, come on, let me see, you oughta
My camera's gonna get you when you get it good and wet
You oughta let me come and pet you so it lasts, baby 319
Can I see it, baby? Mm, ow
I got a good shot, put your leg on the chair, like that?
You know you're too hot when you play with your hair, I like it
I just wanna holler, s  and shout when you let
Your fingers do the walkin' in and out and all about, 319
Ah hoochie, don't do that, you, you
You make me wanna dance, now watch this
Lock the door and kill the phone, my camera, you and me alone
Will make a picture, all will see and go, ow, 319
Oh baby, how'd you get your legs to do that? Ooh  
319, 319, 319, you're just too mean, 319, 319, 319
Yeah, yeah, go on girl, 319, 319, ain't gotta tell you
'Cuz you already know, 319, girl, you in the house
So keep runnin' that show, go on girl, 319
Yeah, 319, come here, 319, have you ever kissed
Another woman on the dance floor? Come here
319, where you goin'? Come here, 319, 319, 319, oh",prince,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Don't worry, I won't hurt you
I only want you to have some fun
I was dreamin' when I wrote this
Forgive me if it goes astray
But when I woke up this mornin'
Could've sworn it was Judgment Day
The sky was all purple
There were people runnin' everywhere
Tryin' to run from the destruction
You know I didn't even care
'Cuz they say 2000 zero zero party over, oops, out of time!
So tonight I'm gonna party like it's 1999
I was dreamin' when I wrote this
So sue me if I go too fast
But life is just a party
And parties weren't meant to last
War is all around us, my mind says, 'Prepare to fight'
So if I gotta die, I'm gonna listen to my body tonight
Yeah, they say 2000 zero zero party over, oops, out of time!
So tonight I'm gonna party like it's 1999!
(Yeah, yeah)
People, let me tell you somethin'
If you didn't come to party
Don't bother knockin' on my door
I got a lion in my pocket and, baby, he's ready to roar
(Yeah)
Everybody's got a bomb, we could all die any day
(Oh)
But before I let that happen, I'll dance my life away
Oh, they say 2000 zero zero party over, oops, out of time!
(We're runnin' out of time)
So tonight I'm gonna party like it's 1999!
(We gonna, we gonna, oh!)
Say it one more time
2000 zero zero party over, oops, out of time!
(No, no)
So tonight I'm gonna party like it's 1999!
(We're gonna, we gonna)
Alright, 1999, you say it, 1999, 1999
(1999)
Don't stop, don't stop, say it one more time
2000 zero zero party over, oops, out of time!
(Yeah, yeah)
So tonight I'm gonna party like it's 1999!
(We gonna, we're gonna)
Yeah, 1999
(1999)
Don't you wanna go?
(1999)
Don't you wanna go?
(1999)
We could all die any day
(1999)
I don't wanna die, I'd rather dance my life away
(1999)
Listen to what I'm tryin' to say
Everybody, everybody say party
Come on now, you say it
(Party!)
That's right, everybody say
(Party!) [unverified]
Can't run from revelation, no
Sing it for your nation, y'all
Dreamin' when you're singin', baby
Say the telephone a-ringin', mama, now
Come on, come on, you say
Everybody, two times
Work it down to the ground, I'm sayin'
(Oh baby, say it again)
(Oh, shake your body, baby!)
That's right, come on, sing the song
That's right, everybody say
Got a lion in my pocket mama, say
Ah, and he's ready to roar, yeah
Mommy, why does everybody have a bomb?
Mommy, why does everybody have a bomb?",prince,1999,1982,1999,24 Sep. 1982,12,4,6,25,21,13,86,-,-,-,2,4,2
475,"Prince
Miscellaneous
2020
The year is 2020 
And in the club - Love4OneAnother 
Students dance 2 the heartbeat of the drum 
3000 or more dance on the dance floor 
Same aesthetics - everyone 
Taste the color, smell the fun 
The force of nature is what brought us here 
The walls between us soon all disappear 
The year is 2020 and there's no more fear 
Can U see this? (Mm hmm) 
Peace and happy people 
(Mm hmm)",prince,2020,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811,"One mix, one mix, one mix, one mix
One mix, one mix, one mix, one mix
DJ, turn it up, turn it up
Let's go, 3121
Hey mommy, it's loco right?
3121, come on
Through the gates, knock on the door
Put your clothes in a pile, on the floor
Take your pick from the Japaneses robes and sandals
Drink champagne from a glass, with chocolate handles
Don't you wanna come? 3121
Gonna be so much fun, 3121
That's where the party be, 3121
You can come if you want to, but you can never leave
Look over there, there's another turn-on
(Look over there)
Butterflies scared that they're gonna be awake all night long
(All night long)
Dancing in your belly, like a ballerina
In spite of your efforts to calm them down
Don't you wanna come? 3121
Gonna be so much fun, 3121
That's where the party be, 3121
You can come if you want to, but you can never leave
Bounce party y'all
It's going down people
Like the wall of Berlin
Lock the door
(Lock the door)
Til you see the sun
(Til you see it)
We gonna party, like there ain't going be, another one
Futuristic, fantasy, this is where the purple party people be
Yeah, this is where the party be, 3121
This is where the party be, 3121
Breakdown, guitar
Don't you wanna come? 3121
It's gonna be so much fun, 3121
(Yes it is)
That's where the party be, 3121
You can come if you want to, but y'all can't never leave
(Not ever)
It's going down y'all
Like the wall of Berlin",prince,3121,2006,3121,21 Mar. 2006,1,1,5,9,23,3,4,15,8,?,18,-,1
478,"Prince
Miscellaneous
777-9311
Baby, what's your phone number? 
I know I'm kinda fast, but I hate 2 waste time 
Baby, what's your phone number? 
Girl, I have 2 ask cuz U're so fine 
CHORUS: 
777-9311 
I wanna spend the night with U if that's alright 
777-9311 
Ooh baby, please can I come 2 night? 
Baby, what's your phone number? 
How can U be reached on a lonely night? 
Baby, what's your phone number? 
How can I get into U when I'm feeling right? 
CHORUS 
Jellybean 
Ain't nothin' worse than rejection 
I'd feel a little better if U slapped my face 
Hey, what's your phone number? 
Can't U see the agony I'm goin' through? 
Baby, what's your phone number? 
Girl, it's getting hard baby, won't U let me love U, love U? 
CHORUS 
Yeah, ooh 
Hey baby,what's your phone number? 
I know it sounds fast, but I ain't got all night 
Come on baby, what's your phone number? 
U know I got 2 be cooler than this cat U're sittin' with 
I'll do U right, baby 
Come on! {x3} 
Oh no, come on! 
Oh, hey 
CHORUS 
Come 2 night if it's alright (777-9311) 
Honey, please can I come 2 night? 
Can't U see what I'm gonna do? (777-9311) 
I wanna do it 2 night, baby, I wanna do it 2 U 
It's on fire, U burn me out (777-9311) 
It's getting higher, U know what I'm talkin' about 
Help me out good Lord above (777-9311) 
Marry me girl, give me some of that love 
Terry 
777-9311 {x13}",prince,7779311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,"  u, you're so fine
Seems to happen to me each and every time we make love
I can't hold back, it's like havin' a hundred million little heart attacks
  u, baby you're so fine
  this kooky love affair
All I ever wanna do is play in your hair
Two people crazy in love, into one another like a hand in glove
  this kooky love affair
  u
Like animals just born to breed
Come to think about ya baby, you're my only need
I'm on fire 'til you come and put me out
All I'm trying to say is that my psychedelic shouts
When u   me,   u
When I'm in your arms it's all that I can do
When we're makin' love, I can't hold back
It's like havin' a hundred million little heart attacks
  u, baby you're so fine,   u, baby you're so fine
{That one's dedicated to all the lovers
That was beautiful
This one's dedicates to the whores
What you just}
{Pimp rag
(Pimp rag)
Check
Just once will you talk to me?}
{Tootsie pop
(Tootsie pop)
Check
Not at me, not around me, not through me?
Raise your cane
(Cane)}
{What do you believe in?
God
Who is your god?
You
Is this reality or just another facade?}",prince,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397," ed if I do
Tell me what's up with the teenage indecision
I'm mad in love but you won't give me permission
You said, ""Be here at 9""
Then s  at me
For not giving you more time, more time
 ed if I do,  ed if I don't
You say you want me to love you
But when I try, you won't
Maybe, maybe we should say goodbye
 ed if I do
Tell me the truth, how many, you do it too?
I smell vermouth everytime I don't get to kiss you
Enough's enough
If you don't want my lovin', then I'll give up, I'll give up
 ed if I do,  ed if I don't
You say you want me to love you
But when I try, you won't
Baby, maybe we should say goodbye, goodbye
 ed if I don't try to make you see yourself the way I do
Open minded, worldly, always ready for taboo
Tell me what's up, are we gonna go to heaven?
I'll fill your cup, I won't do it like Kevin
 ed if I do,  ed if I don't
You say you want me to love you
But when I try, you won't
Baby, maybe we should say goodbye
 ed if I do,  ed if I don't
Baby, maybe we should say goodbye
Maybe we should say, ""I do""
[Unverified]",prince,ed if i do,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,"Nuestra presentacion especial comenzara en breve
(Our special presentation will start shortly)
Pero antes un mensaje de nuestros auspiciadores
(But first a message from our sponsors)
Uh, yeah
Uh
Good mornin', ladies and gentlemen
(What hotel number is she in?)
Boys and   in' girls
(319, 319, cool)
This is your captain with no name speakin'
And I'm here 2 rock your world
With a tale that will soon be classic
About a woman u already know
No, prostitute she, but the mayor of your brain
 control
(Are u ready?)
Ah,  control, oh
Ah,  control, oh
Our story begins in a schoolyard
A little girl skipping rope with her friends
A tisket, a tasket, no lunch in her basket
Just school books 4 the fight she would be in
One day over this hoodie
She got beat for some clothes and her rep
With her chin up, she scolded all y'alls molded
When I'm rich, on your neck I will step
And step she did to the straight as
Then college, the master degree
She hired the heifers that jumped her
And made everyone of them work for free?
Know, why?
So what if my sisters are triflin'?
They just don't know
She said mama didn't tell 'em what she told me
Girl, u need  control
(Are u ready?)
Ah,  control, oh
Ah,  control, oh
 got bank in her pockets
Before she got dick in her drawers
If brother didn't have good and plenty of his own
In love  never did fall
And this fool named trick wanna stick her
Uh, talkin' more chick than a bic
'Bout how he gonna make  a star
If she come and sing a lick on his hit
 said  a, u crazy if u don't know
Every woman in the world ain't a freak
U can go platinum 4 times
Still couldn't make what I make in a week
So push up on somebody wanna hear that
'Cuz this somebody here don't wanna know
Boy, u better act like u understand
When u roll with  control
(Are u ready?)
Ah,  control, oh
Ah,  control, oh
Breakdown
(Are u ready for the best  u ever felt?)
(Are u ready for the best  u ever felt?)
With one more verse to the story
I need another piece of your ear
I wanna hip u all to the reason
I'm known as the player of the year
'Cuz I met this girl named 
At the club international balls
She was rollin 4 deep
3 sisters and a weepy-eyed white girl drivin' her haul
I pulled up right beside her
And my electric top went down
I said   er, I know your reputation
And I'm astounded that you're here
I fear you're lonely and u want to know
A 12'o clock straight up  a
That don't give a   that you're  control
Well I'm that  a, at least I wanna be
But it's gonna be hard as hell
To keep my mind off a body
That would make every rich man
Want 2 sell, sell, sell
(75, we need another, 85, 85 here, sold)
Can I tell u what I'm thinkin' that u already know?
U need a   er that respects your name
Now say it,  control
(Are u ready?)
Ah,  control, oh
Ah,  control, oh
And the moral of this   er is
Ladies, make 'em act like they know
You are, was and always will be  control
(Are u ready?)
Peace and be wild
(Ah,  control)
Say what, huh?
(Oh)
Oh, no, don't u think about callin' her a ho
(Are u ready?)
You juvenile delinquent
Best sit your ass down
Talkin' about  control
Huh, can u dig it?
Ah,  control
(Are u ready?)
Oh
(Are u ready?)
Ah,  control
(Are u ready?)
Oh
(Are u ready?)",prince,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
898,"Ohh, ah, yeah
U work so hard, U really do
I don't think that anyone could ever work as hard as U
Hot desert sun, U can feel the heat
Every drop of sweat on your brow is what I am so U best believe
I got 1, 000 hugs and kisses 4 U when U come back home, baby (Ooh woo)
I got 1, 000 hugs and kisses 4 U when U come back home, baby (Ooh woo)
When U give 'em your all, and still it's only second best
U can come and lay your head upon your baby's chest
Every one of your worries, all your miseries (All your miseries)
U can put them in the little book and ship them off 2 sea
Cuz...
()
Ohh, ah, yeah
I got a 1, 000 hugs and kisses U when U come back home
Come here!
The world can be, well 2 put it frankly, such a   sometimes
Seems like love that lasts 4ever is so   hard 2 find
Seems like all we ever find is another reason 2 cry
As long as U got me I got your back and this is why
U work so hard, U really do
I don't think that anyone could ever work as hard as U
Better lock the door, U better turn off the phone
Cuz I'm gonna give 1, 000 reasons why we need 2 be alone
()
I got 1, 000 hugs and kisses, baby, when U get back home
When U get back home
Oh yeah
I wanna hold U, tie U up in lace
And I wanna kiss U, kiss U all over your face
I wanna love U all up and down
Give U love like U never had, all, ungagged and bound
Ooh yeah (Ohh)
I got 1, 000 hugs and kisses 4 U, baby
(I got 1, 000 hugs and kisses 4 U when U come back home, baby)
I wanna, I wanna, yeah, I wanna hug U baby, kiss U
(I got 1, 000 hugs and kisses 4 U when U come back home, baby)
Yeah yeah, ooh
Love u up and love u down
Love u till u make them sounds",prince,1000 xs  os,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
